AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
DLLS,SC,202205,C,13,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,095824,05.3
DLLS,SA,202101,H,04,06,C,48,0119,3,GS-06,D,XXXX,10,P,2,1,045197,04.0
DLLS,SC,202301,F,04,07,D,22,0119,3,GS-07,D,XXXX,10,P,2,1,044740,05.9
DLLS,SC,202106,C,13,12,C,11,0110,1,GS-12,H,0110,15,F,1,1,087198,03.8
DLLS,SC,202208,E,04,07,D,42,0110,1,GS-07,D,0110,10,F,1,1,048880,05.6
DLLS,SC,201910,E,04,05,B,48,0119,3,GS-05,C,XXXX,15,P,2,1,038885,02.8
DLLS,SA,202209,D,17,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,095824,05.4
DLLS,SC,202009,D,04,05,A,36,0119,3,GS-05,D,XXXX,15,P,2,1,040345,00.3
DLLS,SA,202210,B,13,07,B,17,0110,1,GS-07,F,0110,15,F,1,1,061340,02.0
DLLS,SA,202010,J,04,05,D,13,0119,3,GS-05,D,XXXX,15,P,2,1,046598,07.3
DLLS,SC,202012,G,13,06,B,04,0119,3,GS-06,D,XXXX,15,P,2,1,044353,02.7
DLLS,SC,202005,D,04,05,A,36,0119,3,GS-05,D,XXXX,15,P,2,1,040345,00.0
DLLS,SC,202001,D,04,06,B,05,0119,3,GS-06,C,XXXX,38,P,2,1,037843,01.6
DLLS,SC,201910,C,04,05,A,11,0119,3,GS-05,C,XXXX,15,P,2,1,037955,00.3
DLLS,SC,202103,D,04,05,D,37,0119,3,GS-05,C,XXXX,15,P,2,1,038792,07.8
DLLS,SC,202001,J,13,05,B,48,0119,3,GS-05,D,XXXX,15,P,2,1,041485,01.5
DLLS,SA,202208,C,17,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,089834,03.1
DLLS,SJ,202110,I,17,07,C,16,0119,3,GS-07,D,XXXX,20,P,2,1,043683,03.3
DLLS,SC,202207,H,04,05,B,48,0119,3,GS-05,C,XXXX,15,P,2,1,038526,01.3
DLLS,SA,202109,E,13,06,C,36,0119,3,GS-06,D,XXXX,10,P,2,1,046937,03.2
DLLS,SC,202010,H,13,05,B,48,0119,3,GS-05,C,XXXX,15,P,2,1,037244,02.3
DLLS,SA,202209,G,04,06,C,48,0119,3,GS-06,E,XXXX,10,P,2,1,053708,03.1
DLLS,SA,202006,D,13,06,B,11,0119,3,GS-06,D,XXXX,15,P,2,1,043798,01.8
DLLS,SC,202105,J,04,06,B,42,0119,3,GS-06,D,XXXX,15,P,2,1,044156,02.8
DLLS,SD,202110,I,04,06,E,39,0119,3,GS-06,E,XXXX,10,P,2,1,052526,13.1
DLLS,SC,202001,F,10,05,B,28,0119,3,GS-05,C,XXXX,15,P,2,1,036080,01.4
DLLS,SC,202304,E,04,05,C,06,0119,3,GS-05,E,XXXX,15,P,2,1,055534,03.0
DLLS,SA,202309,F,13,12,E,41,0110,1,GS-12,I,0110,10,F,1,1,091822,14.8
DLLS,SC,202302,I,04,07,C,06,0119,3,GS-07,D,XXXX,10,P,2,1,046696,04.4
DLLS,SA,202008,C,17,11,B,11,0110,1,GS-11,G,0110,15,F,1,1,072030,01.9
DLLS,SC,202211,C,13,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,092829,04.2
DLLS,SC,202204,C,13,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,089834,03.6
DLLS,SA,202303,E,04,05,B,12,0119,3,GS-05,D,XXXX,15,P,2,1,047752,02.8
DLLS,SC,202303,D,17,13,C,11,0110,1,GS-13,K,0110,10,F,1,1,112015,04.4
DLLS,SC,202207,C,09,06,C,34,0119,3,GS-06,D,XXXX,10,P,2,1,049917,03.8
DLLS,SC,202110,K,09,05,C,34,0119,3,GS-05,D,XXXX,10,P,2,1,044824,03.0
DLLS,SC,202108,D,17,12,B,11,0110,1,GS-12,H,0110,15,F,1,1,087198,02.8
DLLS,SA,202202,I,04,06,C,47,0119,3,GS-06,D,XXXX,10,P,2,1,041604,03.3
DLLS,SA,202108,I,04,05,B,06,0119,3,GS-05,E,XXXX,15,P,2,1,052355,02.0
DLLS,SA,202006,B,13,11,B,11,0110,1,GS-11,G,0110,15,F,1,1,072030,01.7
DLLS,SC,201912,E,13,05,A,29,0119,3,GS-05,C,XXXX,15,P,2,1,034354,00.3
DLLS,SA,202106,C,17,12,B,11,0110,1,GS-12,H,0110,15,F,1,1,087198,02.7
DLLS,SC,202103,F,10,05,A,26,0119,3,GS-05,C,XXXX,15,P,2,1,038723,00.3
DLLS,SA,202112,H,04,07,C,46,0119,3,GS-07,D,XXXX,10,P,2,1,043683,03.1
DLLS,SA,202006,D,04,06,B,40,0119,3,GS-06,C,XXXX,15,P,2,1,038921,01.6
DLLS,SA,202307,D,04,12,C,24,0110,1,GS-12,J,0110,10,F,1,1,100479,04.7
DLLS,SA,202105,C,13,12,B,11,0110,1,GS-12,H,0110,15,F,1,1,087198,02.4
DLLS,SC,202003,H,13,05,D,06,0119,3,GS-05,E,XXXX,15,P,2,1,055372,07.1
DLLS,SC,202104,F,04,06,B,55,0119,3,GS-06,C,XXXX,15,P,2,1,039311,02.3
DLLS,SA,202307,C,13,12,C,24,0110,1,GS-12,I,0110,10,F,1,1,097339,04.6
DLLS,SC,201910,D,17,05,A,28,0119,3,GS-05,C,XXXX,15,P,2,1,033949,00.8
DLLS,SC,202110,J,04,05,B,12,0119,3,GS-05,C,XXXX,15,P,2,1,036441,01.2
DLLS,SC,202206,F,04,07,C,06,0119,3,GS-07,E,XXXX,10,P,2,1,050389,03.3
DLLS,SC,202212,D,17,12,C,48,0110,1,GS-12,H,0110,10,F,1,1,085838,03.8
DLLS,SC,202007,K,04,05,B,20,0119,3,GS-05,C,XXXX,15,P,2,1,036080,01.3
DLLS,SC,202101,J,04,05,B,06,0119,3,GS-05,C,XXXX,15,P,2,1,036441,01.8
DLLS,SC,202001,I,17,05,A,25,0119,3,GS-05,C,XXXX,15,P,2,1,038993,00.8
DLLS,SA,202112,F,17,06,B,49,0119,3,GS-06,D,XXXX,15,P,2,1,040621,02.7
DLLS,SC,201911,J,04,05,A,55,0119,3,GS-05,C,XXXX,15,P,2,1,035390,00.6
DLLS,SC,202108,F,04,06,B,18,0119,3,GS-06,D,XXXX,15,P,2,1,040621,02.3
DLLS,SC,202001,E,04,05,A,53,0119,3,GS-05,C,XXXX,15,P,2,1,038250,00.7
DLLS,SC,202105,C,17,11,B,06,0110,1,GS-11,H,0110,15,F,1,1,081491,02.0
DLLS,SA,202208,C,13,07,C,26,0119,3,GS-07,D,XXXX,10,P,2,1,049230,03.3
DLLS,SK,202004,K,04,05,A,27,0119,3,GS-05,C,XXXX,15,P,2,1,037539,00.9
DLLS,SC,202303,E,10,06,C,48,0119,3,GS-06,D,XXXX,10,P,2,1,044822,03.8
DLLS,SC,202207,C,17,09,A,24,0110,1,GS-09,F,0110,15,F,1,1,061947,00.8
DLLS,SC,202006,G,17,05,B,11,0119,3,GS-05,D,XXXX,15,P,2,1,040601,01.0
DLLS,SA,202107,D,17,12,B,11,0110,1,GS-12,I,0110,15,F,1,1,093013,02.2
DLLS,SC,202107,C,13,12,B,11,0110,1,GS-12,I,0110,15,F,1,1,090106,02.1
DLLS,SA,202302,C,04,11,B,12,0110,1,GS-11,G,0110,15,F,1,1,073639,01.8
DLLS,SC,202003,H,04,05,A,11,0119,3,GS-05,C,XXXX,15,P,2,1,039291,00.8
DLLS,SA,202301,J,04,05,B,42,0119,3,GS-05,E,XXXX,15,P,2,1,053780,02.9
DLLS,SC,202005,D,13,05,A,41,0119,3,GS-05,C,XXXX,15,P,2,1,037262,00.8
DLLS,SC,202301,C,13,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,094199,03.4
DLLS,SC,202107,H,04,06,B,24,0119,3,GS-06,D,XXXX,15,P,2,1,044237,01.9
DLLS,SC,202102,D,13,07,B,06,0110,1,GS-07,E,0110,15,F,1,1,051547,01.4
DLLS,SC,202001,J,17,05,A,49,0119,3,GS-05,C,XXXX,15,P,2,1,034916,00.4
DLLS,SA,202207,F,10,06,B,48,0119,3,GS-06,D,XXXX,15,P,2,1,041604,02.9
DLLS,SC,202110,E,04,12,B,11,0110,1,GS-12,I,0110,15,F,1,1,095920,02.1
DLLS,SC,202302,C,13,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,094199,03.5
DLLS,SC,202309,C,13,12,C,42,0110,1,GS-12,I,0110,10,F,1,1,093923,04.0
DLLS,SA,202303,F,04,12,C,11,0110,1,GS-12,J,0110,10,F,1,1,109899,03.5
DLLS,SC,201911,B,13,07,A,36,0110,1,GS-07,D,0110,15,F,1,1,048375,00.2
DLLS,SA,202207,C,13,09,B,06,0110,1,GS-09,G,0110,15,F,1,1,071317,02.8
DLLS,SC,202007,B,13,07,A,25,0110,1,GS-07,D,0110,15,F,1,1,048159,00.8
DLLS,SC,201911,K,04,05,A,39,0119,3,GS-05,C,XXXX,15,P,2,1,035064,00.1
DLLS,SA,202107,J,04,05,B,40,0119,3,GS-05,D,XXXX,10,P,2,1,044671,01.7
DLLS,SC,202111,D,10,06,B,04,0119,3,GS-06,D,XXXX,15,P,2,1,040724,01.9
DLLS,SC,202107,B,04,09,B,06,0110,1,GS-09,F,0110,15,F,1,1,061019,01.7
DLLS,SC,202207,D,13,06,B,32,0119,3,GS-06,D,XXXX,15,P,2,1,042338,02.6
DLLS,SC,202107,J,04,05,B,40,0119,3,GS-05,C,XXXX,15,P,2,1,036441,01.6
DLLS,SC,202204,C,13,11,B,36,0110,1,GS-11,G,0110,15,F,1,1,076961,02.3
DLLS,SC,202003,I,04,05,A,45,0119,3,GS-05,C,XXXX,15,P,2,1,034916,00.2
DLLS,SC,202302,I,04,05,C,37,0119,3,GS-05,D,XXXX,10,P,2,1,040210,03.1
DLLS,SC,202309,K,04,05,E,13,0119,3,GS-05,E,XXXX,15,P,2,1,051752,11.8
DLLS,SC,202205,C,13,11,B,06,0110,1,GS-11,H,0110,15,F,1,1,081338,02.3
DLLS,SC,202205,F,04,06,B,37,0119,3,GS-06,D,XXXX,15,P,2,1,040262,02.2
DLLS,SC,202104,F,04,05,A,42,0119,3,GS-05,C,XXXX,15,P,2,1,038334,00.3
DLLS,SC,202207,D,13,06,B,42,0119,3,GS-06,D,XXXX,15,P,2,1,043987,02.3
DLLS,SC,202207,C,04,12,B,37,0110,1,GS-12,H,0110,15,F,1,1,082601,02.3
DLLS,SC,202008,F,04,05,A,39,0119,3,GS-05,C,XXXX,15,P,2,1,036142,00.3
DLLS,SC,202103,C,13,07,B,06,0110,1,GS-07,E,0110,15,F,1,1,055063,01.0
DLLS,SC,202307,C,04,12,C,34,0110,1,GS-12,I,0110,10,F,1,1,096808,03.3
DLLS,SC,202307,B,13,09,B,22,0110,1,GS-09,E,0110,15,F,1,1,057118,01.0
DLLS,SC,202108,H,04,05,B,05,0119,3,GS-05,C,XXXX,15,P,2,1,036441,01.3
DLLS,SA,202110,C,04,11,B,11,0110,1,GS-11,G,0110,15,F,1,1,072750,01.5
DLLS,SC,202111,C,13,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,060129,01.6
DLLS,SC,202102,C,04,05,A,42,0119,3,GS-05,C,XXXX,15,P,2,1,038334,00.3
DLLS,SC,202004,K,04,05,A,01,0119,3,GS-05,C,XXXX,15,P,2,1,034916,00.0
DLLS,SC,202209,B,12,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,061947,01.6
DLLS,SC,202203,H,04,06,B,31,0119,3,GS-06,D,XXXX,15,P,2,1,040262,01.8
DLLS,SA,202306,D,13,11,B,24,0110,1,GS-11,G,0110,15,F,1,1,078592,02.9
DLLS,SC,202006,K,04,05,A,53,0119,3,GS-05,C,XXXX,15,P,2,1,034916,00.0
DLLS,SC,202207,B,17,11,B,55,0110,1,GS-11,G,0110,15,F,1,1,076043,01.8
DLLS,SA,202306,E,13,09,B,26,0110,1,GS-09,F,0110,15,F,1,1,065035,02.8
DLLS,SC,202207,C,17,12,B,24,0110,1,GS-12,H,0110,15,F,1,1,089834,02.0
DLLS,SC,202103,J,04,05,A,31,0119,3,GS-05,C,XXXX,15,P,2,1,035381,00.8
DLLS,SC,202203,B,13,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,061947,01.7
DLLS,SA,202106,C,04,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,060129,00.9
DLLS,SC,202307,C,13,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,094199,03.0
DLLS,SC,202202,B,13,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,061947,01.7
DLLS,SC,202107,B,13,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,060129,01.0
DLLS,SC,202107,B,13,07,A,11,0110,1,GS-07,D,0110,15,F,1,1,049157,00.9
DLLS,SC,202307,C,13,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,094199,03.0
DLLS,SC,202102,J,04,05,A,41,0119,3,GS-05,C,XXXX,15,P,2,1,037634,00.5
DLLS,SC,202107,B,13,09,B,11,0110,1,GS-09,F,0110,15,F,1,1,060129,01.0
DLLS,SC,202306,G,04,07,B,41,0119,3,GS-07,E,XXXX,15,P,2,1,050094,02.8
DLLS,SC,202110,G,04,05,B,12,0119,3,GS-05,C,XXXX,15,P,2,1,036441,01.2
DLLS,SA,202207,D,17,11,B,11,0110,1,GS-11,G,0110,15,F,1,1,074950,01.9
DLLS,SC,202106,I,04,05,A,06,0119,3,GS-05,D,XXXX,15,P,2,1,043018,00.8
DLLS,SA,202301,D,17,12,B,13,0110,1,GS-12,H,0110,15,F,1,1,087466,02.1
